Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
SVM HOG training ,0.6661081,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM HOG test dataset ,0.3448767,0.916666667,200,20,20,0,1,0.909090909,0.5,0.952380952,0.5,0.89,,,,,,,20,0.0833333333333333,,Error
 ,,,,,,,,,,,,,,,,,,220,240,0.916666666666667,,Accuracy
SVM HOG supplied images ,0.0167416,1,7,0,0,0,1,1,NaN,1,NaN,,,,,,,,0,0,,Error
 ,,,,,,,,,,,,,,,,,,7,7,1,,Accuracy
