Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
Gabor KNN training,29.5125699,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
Gabor KNN test dataset,19.009587,0.825,178,20,20,22,0.89,0.898989899,0.5,0.894472362,0.5,,,,,,,,42,0.175,,Error
 ,,,,,,,,,,,,,,,,,,198,240,0.825,,Accuracy
Gabor KNN supplied images ,0.6349197,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,,,,,,,,1,0.142857142857143,,Error
 ,,,,,,,,,,,,,,,,,,6,7,0.857142857142857,,Accuracy
