Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
SVM PL training ,0.785801,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM PL test dataset ,0.1008853,0.691666667,134,8,32,66,0.67,0.943661972,0.8,0.783625731,0.2,,,,,,,,74,0.308333333333333,,Error
 ,,,,,,,,,,,,,,,,,,166,240,0.691666666666667,,Accuracy
SVM PL supplied images ,0.3506408,0.571428571,4,0,0,3,0.571428571,1,NaN,0.727272727,NaN,,,,,,,,3,0.428571428571429,,Error
 ,,,,,,,,,,,,,,,,,,4,7,0.571428571428571,,Accuracy
