Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea
"KNN multi scale sliding 1sampling rate = 4,3",2.863553,0.999607843,6,0,2543,0,1,1,1,1,0,
 ,,,,,,,,,,,,
"KNN multi scale sliding 2sampling rate = 4,3",7.2680689,0.998737374,11,0,3153,3,0.785714286,1,1,0.88,0,
 ,,,,,,,,,,,,
"KNN multi scale sliding 3sampling rate = 4,3",23.2690753,0.99877193,6,5,5687,1,0.857142857,0.545454545,0.999121574,0.666666667,0.000878426,
 ,,,,,,,,,,,,
"KNN multi scale sliding 4sampling rate = 4,3",109.5636252,0.998802083,44,34,38310,9,0.830188679,0.564102564,0.99911329,0.671755725,0.00088671,
 ,,,,,,,,,,,,
 , , , , , , , , , , , , 
 ,,,,,,,,,,,,
KNN training,3.3089184,,,,,,,,,,,
 ,,,,,,,,,,,,
KNN test dataset,0.3027546,0.666666667,130,10,30,70,0.65,0.928571429,0.75,0.764705882,0.25,
 ,,,,,,,,,,,,
KNN supplied images,4.8201274,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,
 ,,,,,,,,,,,,
"KNN single scale sliding 1sampling rate = 12,9",0.2658288,0.970588235,5,1,94,1,0.833333333,0.833333333,0.989473684,0.833333333,0.010526316,
 ,,,,,,,,,,,,
"KNN single scale sliding 2sampling rate = 12,9",0.2518028,0.966666667,12,1,104,2,0.857142857,0.923076923,0.99047619,0.888888889,0.00952381,
 ,,,,,,,,,,,,
"KNN single scale sliding 3sampling rate = 12,9",0.3505274,0.932126697,7,14,199,0,1,0.333333333,0.9342723,0.5,0.0657277,
 ,,,,,,,,,,,,
"KNN single scale sliding 4sampling rate = 12,9",1.5846302,0.964043419,34,31,1387,19,0.641509434,0.523076923,0.978138223,0.576271186,0.021861777,
 ,,,,,,,,,,,,
"KNN multi scale sliding 1sampling rate = 12,9",0.4957915,0.993464052,6,1,298,0,1,0.857142857,0.996655518,0.923076923,0.003344482,
 ,,,,,,,,,,,,
"KNN multi scale sliding 2sampling rate = 12,9",0.5529343,0.988888889,11,0,345,0,1,1,1,1,0,
 ,,,,,,,,,,,,
"KNN multi scale sliding 3sampling rate = 12,9",0.9316416,0.980392157,4,9,646,2,0.666666667,0.307692308,0.986259542,0.421052632,0.013740458,
 ,,,,,,,,,,,,
"KNN multi scale sliding 4sampling rate = 12,9",5.7812971,0.988692899,36,30,4336,13,0.734693878,0.545454545,0.993128722,0.626086957,0.006871278,
 ,,,,,,,,,,,,
 , , , , , , , , , , , , 
 ,,,,,,,,,,,,
KNN training,3.3020233,,,,,,,,,,,
 ,,,,,,,,,,,,
KNN test dataset K=10,0.2965262,0.725,146,12,28,54,0.73,0.924050633,0.7,0.815642458,0.3,
 ,,,,,,,,,,,,
KNN supplied images K=10,4.5636318,0.857142857,6,0,0,1,0.857142857,1,NaN,0.923076923,NaN,
 ,,,,,,,,,,,,
KNN single scale sliding 1K=10,0.3061265,0.991111111,6,1,217,0,1,0.857142857,0.995412844,0.923076923,0.004587156,
 ,,,,,,,,,,,,
KNN single scale sliding 2K=10,0.3608885,0.988636364,12,0,249,3,0.8,1,1,0.888888889,0,
 ,,,,,,,,,,,,
KNN single scale sliding 3K=10,0.599858,0.978947368,8,10,457,0,1,0.444444444,0.978586724,0.615384615,0.021413276,
 ,,,,,,,,,,,,
KNN single scale sliding 4K=10,3.4956352,0.98375,39,35,3109,16,0.709090909,0.527027027,0.988867684,0.604651163,0.011132316,
 ,,,,,,,,,,,,
KNN multi scale sliding 1K=10,0.7449788,0.997037037,5,0,668,2,0.714285714,1,1,0.833333333,0,
 ,,,,,,,,,,,,
