Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
SVM LS training ,1.052766,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM LS test dataset ,0.1866023,0.741666667,156,18,22,44,0.78,0.896551724,0.55,0.834224599,0.45,,,,,,,,62,0.258333333333333,,Error
 ,,,,,,,,,,,,,,,,,,178,240,0.741666666666667,,Accuracy
SVM LS supplied images ,0.3778206,0.714285714,5,0,0,2,0.714285714,1,NaN,0.833333333,NaN,,,,,,,,2,0.285714285714286,,Error
 ,,,,,,,,,,,,,,,,,,5,7,0.714285714285714,,Accuracy
