Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
SVM Gabor HOG training ,26.6431221,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM Gabor test dataset ,2.0960625,0.795833333,155,4,36,45,0.775,0.974842767,0.9,0.863509749,0.1,0.909625,,,,,,,49,0.204166666666667,,Error
 ,,,,,,,,,,,,,,,,,,191,240,0.795833333333333,,Accuracy
SVM Gabor supplied images ,0.1374488,0.714285714,5,0,0,2,0.714285714,1,NaN,0.833333333,NaN,,,,,,,,2,0.285714285714286,,Error
 ,,,,,,,,,,,,,,,,,,5,7,0.714285714285714,,Accuracy
