Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
SVM PCA training ,1.3610691,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM PCA test dataset ,0.3730757,0.466666667,90,18,22,110,0.45,0.833333333,0.55,0.584415584,0.45,0.583,,,,,,,128,0.533333333333333,,Error
 ,,,,,,,,,,,,,,,,,,112,240,0.466666666666667,,Accuracy
SVM PCA supplied images ,0.0154307,0.285714286,2,0,0,5,0.2857,1,NaN,0.4444,NaN,,,,,,,,5,0.714285714285714,,Error
 ,,,,,,,,,,,,,,,,,,2,7,0.285714285714286,,Accuracy
