Title,Timing,Accuracy,TP,FP,TN,FN,Recall,Precision,Specificity,F_Measure,FalseAlarmRate,RocCurveArea,,,,,,,,,,
 , , , , , , , , , , , , ,,,,,,,,,,
SVM HE training ,6.6320874,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,
SVM HE test dataset ,1.897418,0.716666667,134,2,38,66,0.67,0.985294118,0.95,0.797619048,0.05,,,,,,,,68,0.283333333333333,,Error
 ,,,,,,,,,,,,,,,,,,172,240,0.716666666666667,,Accuracy
SVM HE supplied images ,0.0952619,0.714285714,5,0,0,2,0.714285714,1,NaN,0.833333333,NaN,,,,,,,,2,0.285714285714286,,Error
 ,,,,,,,,,,,,,,,,,,5,7,0.714285714285714,,Accuracy
